Categoria: Todas as categorias

Semana,Globo: (Distrito Federal)
2017-01-01,68
2017-01-08,71
2017-01-15,74
2017-01-22,74
2017-01-29,74
2017-02-05,73
2017-02-12,74
2017-02-19,75
2017-02-26,72
2017-03-05,78
2017-03-12,71
2017-03-19,77
2017-03-26,78
2017-04-02,74
2017-04-09,84
2017-04-16,79
2017-04-23,72
2017-04-30,74
2017-05-07,79
2017-05-14,100
2017-05-21,87
2017-05-28,79
2017-06-04,87
2017-06-11,72
2017-06-18,77
2017-06-25,80
2017-07-02,85
2017-07-09,83
2017-07-16,87
2017-07-23,86
2017-07-30,87
2017-08-06,82
2017-08-13,78
2017-08-20,77
2017-08-27,79
2017-09-03,78
2017-09-10,82
2017-09-17,77
2017-09-24,78
2017-10-01,79
2017-10-08,74
2017-10-15,82
2017-10-22,84
2017-10-29,74
2017-11-05,74
2017-11-12,72
2017-11-19,66
2017-11-26,72
2017-12-03,73
2017-12-10,81
2017-12-17,72
2017-12-24,68
2017-12-31,73
