Categoria: Todas as categorias

Semana,Record: (Distrito Federal)
2017-01-01,62
2017-01-08,52
2017-01-15,100
2017-01-22,77
2017-01-29,59
2017-02-05,67
2017-02-12,62
2017-02-19,57
2017-02-26,64
2017-03-05,68
2017-03-12,58
2017-03-19,47
2017-03-26,79
2017-04-02,67
2017-04-09,62
2017-04-16,61
2017-04-23,58
2017-04-30,56
2017-05-07,55
2017-05-14,62
2017-05-21,62
2017-05-28,60
2017-06-04,53
2017-06-11,59
2017-06-18,60
2017-06-25,73
2017-07-02,60
2017-07-09,68
2017-07-16,75
2017-07-23,60
2017-07-30,63
2017-08-06,47
2017-08-13,53
2017-08-20,50
2017-08-27,58
2017-09-03,60
2017-09-10,78
2017-09-17,85
2017-09-24,67
2017-10-01,58
2017-10-08,55
2017-10-15,55
2017-10-22,56
2017-10-29,59
2017-11-05,52
2017-11-12,52
2017-11-19,65
2017-11-26,70
2017-12-03,71
2017-12-10,52
2017-12-17,62
2017-12-24,51
2017-12-31,46
