Categoria: Todas as categorias

Semana,Correios braziliense: (Brasil)
2017-01-01,0
2017-01-08,41
2017-01-15,26
2017-01-22,0
2017-01-29,30
2017-02-05,70
2017-02-12,33
2017-02-19,28
2017-02-26,40
2017-03-05,27
2017-03-12,50
2017-03-19,50
2017-03-26,33
2017-04-02,42
2017-04-09,0
2017-04-16,0
2017-04-23,41
2017-04-30,0
2017-05-07,47
2017-05-14,53
2017-05-21,72
2017-05-28,61
2017-06-04,36
2017-06-11,45
2017-06-18,54
2017-06-25,87
2017-07-02,50
2017-07-09,100
2017-07-16,42
2017-07-23,23
2017-07-30,33
2017-08-06,38
2017-08-13,54
2017-08-20,36
2017-08-27,65
2017-09-03,49
2017-09-10,48
2017-09-17,79
2017-09-24,49
2017-10-01,52
2017-10-08,50
2017-10-15,38
2017-10-22,69
2017-10-29,36
2017-11-05,26
2017-11-12,33
2017-11-19,47
2017-11-26,44
2017-12-03,36
2017-12-10,0
2017-12-17,39
2017-12-24,0
2017-12-31,38
