Data;Servico;Midia;Tipo;competencia;Agencia;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisao/B. Calculo ; IR ; ISS ; Liquido ;PP;Data Pagt;RPP;RPNP;local;Data;Relatorio;Campanha;situacao;
02/05/2017;veiculacao;Internet;normal;fev/17;Propeg;29139;Site globo.com;17614;12.909,95;;2.038,41;30,58;101,92;12.777,45;14;19/05/2017; nao ; nao ; coorfin ;11/05/2017;1;Carnaval 2017;pago;
11/04/2017;veiculacao;Internet;normal;mar/17;Binder;18257;Site globo.com;17960;;3.796,33;599,42;8,99;29,97;3.757,37;10;19/05/2017; nao ; nao ; coorfin ;11/05/2017;2;Uso Racional da agua 2;pago;
12/04/2017;veiculacao;TV;normal;mar/17;Binder;76;Globo News;18196;;4.867,09;768,49;11,53;38,42;4.817,14;10;19/05/2017; nao ; nao ; coorfin ;11/05/2017;2;Uso Racional da agua 2;pago;
12/04/2017;veiculacao;TV;normal;mar/17;Binder;83;Multishow;90087108;;5.335,20;842,4;12,64;42,12;5.280,44;10;19/05/2017; nao ; nao ; coorfin ;11/05/2017;2;Uso Racional da agua 2;pago;
12/04/2017;veiculacao;TV;normal;mar/17;Binder;82;Viva;90087107;;4.377,60;691,2;10,37;34,56;4.332,67;10;19/05/2017; nao ; nao ; coorfin ;11/05/2017;2;Uso Racional da agua 2;pago;
20/04/2017;veiculacao;TV;normal;mar/17;Binder;171;Sportv;90087146;;6.477,57;1.022,77;15,34;51,14;6.411,09;10;19/05/2017; nao ; nao ; coorfin ;11/05/2017;2;Uso Racional da agua 2;pago;
12/04/2017;veiculacao;TV;normal;mar/17;Binder;84;Globo News;18868;;4.748,10;749,7;11,25;37,49;4.699,36;12;19/05/2017; nao ; nao ; coorfin ;11/05/2017;3;Uso Racional da agua 2 - Sustentacao;pago;
24/04/2017;veiculacao;TV;normal;mar/17;Binder;160;GNT;90087811;;2.185,95;345,15;5,18;17,26;2.163,51;12;19/05/2017; nao ; nao ; coorfin ;11/05/2017;3;Uso Racional da agua 2 - Sustentacao;pago;
24/04/2017;veiculacao;TV;normal;mar/17;Binder;156;Multishow;90087959;;2.000,70;315,9;4,74;15,8;1.980,17;12;19/05/2017; nao ; nao ; coorfin ;11/05/2017;3;Uso Racional da agua 2 - Sustentacao;pago;
19/04/2017;veiculacao;TV;normal;mar/17;Propeg;30009;Globo;4089;248.903,80;;39.300,60;589,51;1.965,03;246.349,26;11;19/05/2017; nao ; nao ; coorfin ;11/05/2017;4;Violància Contra a Mulher;pago;
03/05/2017;veiculacao;TV;normal;mar/17;Propeg;30354;Globo News;18954;14.244,30;;2.249,10;33,74;112,46;14.098,10;11;19/05/2017; nao ; nao ; coorfin ;11/05/2017;4;Violància Contra a Mulher;pago;
03/05/2017;veiculacao;TV;normal;mar/17;Propeg;30352;Megapix;90088323;7.311,20;;1.154,40;17,32;57,72;7.236,16;11;19/05/2017; nao ; nao ; coorfin ;11/05/2017;4;Violància Contra a Mulher;pago;
03/05/2017;veiculacao;TV;normal;mar/17;Propeg;30351;Universal Channel;90088324;8.398,00;;1.326,00;19,89;66,3;8.311,81;11;19/05/2017; nao ; nao ; coorfin ;11/05/2017;4;Violància Contra a Mulher;pago;
03/05/2017;veiculacao;TV;normal;mar/17;Propeg;30353;Viva;90087881;5.928,00;;936;14,04;46,8;5.867,16;11;19/05/2017; nao ; nao ; coorfin ;11/05/2017;4;Violància Contra a Mulher;pago;
07/04/2017;veiculacao;Radio;normal;fev/17;Desigual;1771;Mix Fm;63/001;;20.189,40;17.001,60;255,02;850,08;19.084,30;15;19/05/2017; nao ; nao ; coorfin ;12/05/2017;5;IPVA 2017;pago;
07/04/2017;veiculacao;Internet;Alternativo;fev/17;Desigual;1736;site osdivergentes.com.br;5;;3.167,15;500,08;7,5;25;3.134,65;15;19/05/2017; nao ; nao ; coorfin ;12/05/2017;5;IPVA 2017;pago;
07/04/2017;veiculacao;Jornal;normal;fev/17;Desigual;1770;Correio Braziliense;66574;;55.174,86;8.711,82;130,68;435,59;54.608,59;15;19/05/2017; nao ; nao ; coorfin ;12/05/2017;5;IPVA 2017;pago;
10/04/2017;veiculacao;Internet;Alternativo;fev/17;Desigual;1799;Site estacaodanoticia.com;427;;6.156,00;972;14,58;48,6;6.092,82;15;19/05/2017; nao ; nao ; coorfin ;12/05/2017;5;IPVA 2017;pago;
18/04/2017;veiculacao;Internet;normal;fev/17;Desigual;1745;Site correiobraziliense.com.br;67228;;2.660,00;420;6,3;21;2.632,70;15;19/05/2017; nao ; nao ; coorfin ;12/05/2017;5;IPVA 2017;pago;
07/04/2017;veiculacao;Jornal;normal;jan/17;Propeg;29750;Alì Bras°lia;2750;21.856,42;;3.451,01;51,77;172,55;21.632,10;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
07/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29764;Band News Fm;6294/1701;10.723,60;;1.693,20;25,4;84,66;10.613,54;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
07/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29765;Executiva Fm;450;3.755,61;;592,99;8,89;29,65;3.717,07;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
07/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29783;Feliz Fm;1057;7.554,40;;1.192,80;17,89;59,64;7.476,87;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
07/04/2017;veiculacao;Jornal;normal;jan/17;Propeg;29751;Metro;80980;30.067,98;;4.747,58;71,21;237,38;29.759,39;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
07/04/2017;producao;Spot;normal;jan/17;Propeg;29189;Teolane Correia;577924;14.500,00;;;;;14.500,00;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
10/04/2017;veiculacao;Jornal;Alternativo;jan/17;Propeg;29829;A voz;76;4.940,00;;780;11,7;39;4.889,30;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
10/04/2017;producao;Banner;normal;jan/17;Propeg;29830;Opiniao Comunicacao;6;17.600,00;;17.600,00;;880;16.720,00;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
10/04/2017;veiculacao;Jornal;normal;jan/17;Propeg;29800;Aqui DF;65857;13.444,88;;2.122,88;31,84;106,14;13.306,89;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Jornal;Alternativo;jan/17;Propeg;29863;Central Brasil;132;4.940,00;;780;11,7;39;4.889,30;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Jornal;normal;jan/17;Propeg;29762;Destak;3258;26.767,49;;4.226,45;63,4;211,32;26.492,77;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Radio;normal;fev/17;Propeg;29944;OK Fm;91;1.651,10;;260,7;3,91;13,04;1.634,15;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29945;OK Fm;76;3.302,20;;521,4;7,82;26,07;3.268,31;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29946;OK Fm;70;8.192,80;;1.293,60;19,4;64,68;8.108,72;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29943;Os Cabeáas da Not°cia/OK Fm;61;3.302,20;;521,4;7,82;26,07;3.268,31;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
18/04/2017;producao;cachà;normal;jan/17;Propeg;28978;Som e Letras;223;81.000,00;;81.000,00;1.215,00;;79.785,00;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
19/04/2017;veiculacao;Radio;normal;jan/17;Propeg;30004;Antena 1 Fm;5875;8.318,96;;1.313,52;19,7;65,68;8.233,58;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
19/04/2017;veiculacao;Jornal;Alternativo;jan/17;Propeg;29991;Bras°lia Capital;619;7.410,00;;1.170,00;17,55;58,5;7.333,95;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
19/04/2017;veiculacao;Jornal;Alternativo;jan/17;Propeg;29990;Fogo Cruzado;77;4.940,00;;780;11,7;39;4.889,30;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
19/04/2017;veiculacao;Radio;normal;jan/17;Propeg;29780;Supra Fm;2001;10.732,78;;1.694,65;25,42;84,73;10.622,63;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
19/04/2017;producao;Spot;normal;jan/17;Propeg;29188;Teolane Correia;577958;9.410,00;;;;;9.410,00;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
26/04/2017;veiculacao;Radio;normal;jan/17;Propeg;30108;Atividade Fm;1429;11.662,20;;1.841,40;27,62;92,07;11.542,51;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
26/04/2017;veiculacao;Jornal;Alternativo;jan/17;Propeg;30105;Folha de aguas Claras;453;7.410,00;;1.170,00;17,55;58,5;7.333,95;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
26/04/2017;veiculacao;Radio;normal;jan/17;Propeg;30107;JK Fm;81/001;5.649,84;;892,08;13,38;44,6;5.591,86;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
